Hole_ID,Component,Easting,Northing,Elevation,Station,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6
sl12-64,Y,354623.82,5402536.56,280.78,190,30.8971,1.44163,1.27087,1.14458,1.1266,-2.92801,-4.15499
sl12-64,Y,354623.73,5402536.46,270.78,200,73.2637,1.48723,1.82818,2.20754,2.49923,-3.57977,-2.38044
sl12-64,Y,354623.65,5402536.37,260.78,210,73.7991,-1.25106,-0.112112,-1.77163,-0.16897,-5.08989,-4.65628
sl12-64,Y,354623.57,5402536.28,250.78,220,26.1466,0.502053,0.293754,0.262344,0.551399,-2.92487,-3.00532
sl12-64,Y,354623.49,5402536.19,240.78,230,5.51434,-0.480518,-0.342177,-1.89105,-1.1801,-6.36095,-4.77837
sl12-64,Y,354623.41,5402536.09,230.78,240,57.3458,-7.23986,-6.35223,-6.40079,-5.47369,-9.81989,-8.09234
sl12-64,Y,354623.33,5402536.00,220.78,250,6.11198,-1.04363,-2.23557,-1.49165,-0.637308,-2.93657,-2.98952
sl12-64,Y,354623.25,5402535.91,210.79,260,-6.36122,1.10488,1.87315,1.40528,0.855493,-1.72294,-1.79064
sl12-64,Y,354623.17,5402535.82,200.79,270,29.9609,0.152279,0.0324527,1.63184,1.04462,-1.2849,-0.655961
sl12-64,Y,354623.09,5402535.73,190.79,280,37.5262,1.38748,2.74207,2.04505,1.79389,-1.35097,-1.93701
sl12-64,Y,354623.05,5402535.68,185.79,285,62.5488,-0.182894,-1.41172,-1.17672,-0.624029,-4.58706,-3.75488
sl12-64,Y,354623.01,5402535.63,180.79,290,64.9153,-1.23526,-2.27235,-0.296469,0.0871984,-1.94273,-2.48787
sl12-64,Y,354622.97,5402535.59,175.79,295,48.4523,-0.586869,-1.07504,-0.256156,-1.30088,-3.18974,-2.36644
sl12-64,Y,354622.93,5402535.54,170.79,300,51.1486,-0.932699,0.873391,0.870207,1.21801,-3.19379,-3.09286
sl12-64,Y,354622.89,5402535.49,165.79,305,46.7004,-1.3716,-0.466305,-0.86562,-1.26909,-3.61392,-4.68565
sl12-64,Y,354622.85,5402535.45,160.79,310,42.6166,-2.1628,-0.556557,-0.202466,0.430529,-2.93595,-2.87091
sl12-64,Y,354622.77,5402535.36,150.79,320,39.7217,-1.87698,-2.09731,-1.7461,-1.9119,-2.82431,-4.24091
sl12-64,Y,354622.69,5402535.26,140.79,330,37.8033,0.366684,0.137439,-0.812325,0.175143,-2.67653,-2.96234
sl12-64,Y,354622.61,5402535.17,130.79,340,36.3548,-1.63953,-0.726049,-1.75838,-0.316485,-1.68694,-2.1599
sl12-64,Y,354622.53,5402535.08,120.79,350,89.9583,-3.78984,-1.95685,-0.272528,-0.842928,-4.34053,-4.69186
sl12-64,Y,354622.45,5402534.99,110.79,360,1.74973,0.571109,0.705883,-0.257451,-1.84357,-1.21734,-1.55839
sl12-64,Y,354622.37,5402534.90,100.79,370,13.4162,-1.74406,0.269409,-1.0228,-0.420792,-2.63584,-2.65296
sl12-64,Y,354622.29,5402534.80,90.79,380,7.36954,-0.063605,-1.58306,-1.85436,-1.57115,-2.66605,-2.05331
sl12-64,Y,354622.21,5402534.71,80.80,390,8.73717,-0.90129,-1.03772,0.517986,1.73175,-0.627106,-2.18471
