h

h
<CR>Bad command!

/> 
h
h
<CR>
Available commands
------------------
h or ?  ---------------> Alias for Help 
ls      ---------------> List of Files 
read XXXX -------------> read the daily file XXXX  (month/day) 
read_ramp XXXXXXXX ----> read the text file XXXXXXXX  (month/day/Hours/Minutes) 

/> 
ls
ls
<CR>
         TIME          Size       File name 
9 35 2 186 20029 
9 35 17 187 20029 
9 35 32 186 20029 
9 35 47 187 20029 
9 36 2 186 20029 
9 36 17 187 20029 
9 36 32 186 20029 
9 36 47 187 20029 
9 37 2 186 20029 
9 37 17 187 20029 
9 37 32 186 20029 
9 37 47 187 20029 
9 38 2 186 20029 
9 38 17 187 20029 
9 38 32 186 20029 
9 38 47 187 20029 
9 39 2 187 20029 
9 39 17 186 20029 
9 39 32 187 20029 
9 39 47 186 20029 
9 40 2 187 20029 
9 40 17 186 20029 
9 40 32 187 20029 
9 40 47 186 20029 
9 41 2 187 20029 
9 41 17 186 20029 
9 41 32 187 20029 
9 41 47 186 20029 
9 42 2 187 20029 
9 42 17 186 20029 
9 42 32 187 20029 
9 42 47 186 20029 
9 43 2 187 20029 
9 43 17 186 20029 
9 43 32 187 20029 
9 43 47 186 20029 
9 44 2 187 20029 
9 44 41 187 20029 
9 44 56 186 20029 
9 45 11 186 20029 
9 45 26 187 20029 
9 45 41 186 20029 
9 45 56 187 20029 
9 46 11 186 20029 
9 46 26 187 20029 
9 46 41 186 20029 
9 46 56 187 20029 
9 47 11 186 20029 
9 47 26 187 20029 
9 47 41 186 20029 
9 47 56 187 20029 
9 48 11 186 20029 
9 48 26 187 20029 
9 48 41 186 20029 
9 48 56 187 20029 
9 49 11 186 20029 
9 49 26 187 20029 
9 49 41 186 20029 
9 49 56 187 20029 
9 50 11 187 20029 
9 50 26 186 20029 
9 50 41 187 20029 
9 50 56 186 20029 
9 51 11 187 20029 
9 51 26 186 20029 
9 51 41 187 20029 
9 51 56 186 20029 
9 52 11 187 20029 
9 52 26 186 20029 
9 52 41 187 20029 
9 52 56 186 20029 
9 53 11 187 20029 
9 53 26 186 20029 
9 53 41 187 20029 
9 53 56 186 20029 
9 54 11 187 20029 
9 54 26 186 20029 
9 54 41 187 20029 
9 54 56 186 20029 
9 55 11 187 20029 
9 55 26 186 20029 
9 55 41 187 20029 
9 55 56 186 20029 
9 56 11 187 20029 
9 56 26 186 20029 
9 56 41 187 20029 
9 56 56 186 20029 
9 57 11 187 20029 
9 57 26 186 20029 
9 57 41 187 20029 
9 57 56 186 20029 
9 58 11 187 20029 
9 58 26 186 20029 
