h
h
<CR>
Available commands
------------------
h or ?  ---------------> Alias for Help 
ls      ---------------> List of Files 
read XXXX -------------> read the daily file XXXX  (month/day) 
read_ramp XXXXXXXX ----> read the text file XXXXXXXX  (month/day/Hours/Minutes) 

/> 
ls
ls
<CR>
         TIME          Size       File name 
9 55 25 13 8993 
9 55 40 12 8993 
9 55 55 13 8993 
9 56 10 12 8993 
9 56 25 13 8993 
9 56 40 12 8993 
9 56 55 13 8993 
9 57 10 12 8993 
9 57 25 13 8993 
9 57 40 12 8993 
9 57 55 13 8993 
9 58 10 12 8993 
9 58 25 13 8993 
9 58 40 12 8993 
9 58 55 13 8993 
9 59 10 12 8993 
9 59 25 13 8993 
9 59 40 12 8993 
9 59 55 13 8993 
10 0 10 12 8993 
10 0 25 13 8993 
10 0 40 12 8993 
10 0 55 13 8993 
10 1 10 12 8993 
10 1 25 13 8993 
10 1 40 12 8993 
10 1 55 13 8993 
10 2 10 12 8993 
10 2 25 13 8993 
10 2 40 12 8993 
10 2 55 13 8993 
10 3 10 12 8993 
10 3 25 13 8993 
10 3 40 12 8993 
10 3 55 13 8993 
10 4 10 12 8993 
10 4 25 13 8993 
10 4 40 12 8993 
10 4 55 13 8993 
10 7 25 13 8993 
10 7 40 12 8993 
10 7 55 13 8993 
10 8 10 12 8993 
10 8 25 13 8993 
10 8 40 12 8993 
10 8 55 13 8993 
10 9 10 12 8993 
10 9 25 13 8993 
10 9 40 12 8993 
10 9 55 13 8993 
10 10 10 12 8993 
10 10 25 13 8993 
10 10 40 12 8993 
10 10 55 13 8993 
10 11 10 12 8993 
10 11 25 13 8993 
10 11 40 12 8993 
10 11 55 13 8993 
10 12 10 12 8993 
10 12 25 13 8993 
10 12 40 12 8993 
10 12 55 13 8993 
10 13 10 12 8993 
10 13 25 13 8993 
10 13 40 12 8993 
10 13 55 13 8993 
10 14 10 12 8993 
10 14 25 13 8993 
10 14 40 12 8993 
10 14 55 13 8993 
10 15 10 12 8993 
10 15 25 13 8993 
10 15 40 12 8993 
10 15 55 13 8993 
10 16 10 12 8993 
10 16 25 13 8993 
10 16 40 12 8993 
10 16 55 13 8993 
10 17 10 12 8993 
10 17 25 13 8993 
10 17 40 12 8993 
10 17 55 13 8993 
10 18 10 12 8993 
10 18 25 13 8993 
10 18 40 12 8993 
10 18 55 13 8993 
10 19 10 12 8993 
10 19 25 13 8993 
10 19 40 12 8993 
10 19 55 13 8993 
10 20 10 12 8993 
10 20 25 13 8993 
10 20 40 12 8993 
10 20 55 13 8993 
10 21 10 12 8993 
10 21 25 13 8993 
10 21 40 12 8993 
10 21 55 13 8993 
10 24 27 13 8993 
10 24 41 12 8993 
10 24 57 13 8993 
10 25 11 12 8993 
10 25 27 13 8993 
10 25 41 12 8932 
10 25 57 13 8993 
10 26 11 12 8993 
10 26 27 13 8993 
10 26 41 12 8993 
10 26 57 13 8993 
10 27 11 12 8993 
10 27 27 13 8993 
10 27 41 12 8993 
10 27 57 13 8993 
10 28 11 12 8993 
10 28 27 13 8993 
10 28 41 12 8993 
10 28 57 13 8993 
10 29 11 12 8993 
10 29 27 13 8993 
10 29 41 12 8993 
10 29 57 13 8993 
10 30 11 12 8993 
10 30 27 13 8993 
10 30 41 12 8993 
10 30 57 13 8993 
10 31 11 12 8932 
10 31 27 13 8993 
10 31 41 12 8993 
10 31 57 13 8993 
10 32 11 12 8993 
10 32 27 13 8993 
10 32 41 12 8993 
10 32 57 13 8993 
10 33 11 12 8993 
10 33 27 13 8993 
10 33 41 12 8993 
10 33 57 13 8993 
10 34 11 12 8993 
10 34 27 13 8993 
10 34 41 12 8993 
10 34 57 13 8993 
10 35 11 12 8993 
10 35 27 13 8993 
10 35 41 12 8993 
10 35 57 13 8993 
10 36 11 12 8993 
10 36 27 13 8993 
10 36 41 12 8932 
10 36 57 13 8993 
10 37 11 12 8993 
10 37 27 13 8993 
10 37 41 12 8993 
10 37 57 13 8993 
10 38 11 12 8993 
10 38 27 13 8993 
10 38 41 12 8932 
10 38 57 13 8993 
10 41 27 13 8993 
10 41 41 12 8993 
10 41 57 13 8993 
10 42 11 12 8993 
10 42 27 13 8932 
10 42 41 12 8993 
10 42 57 13 8993 
10 43 11 12 8993 
