ls
ls
<CR>
         TIME          Size       File name 
4 37 59 13 9079 
4 38 13 12 9079 
4 38 29 13 8958 
4 38 43 12 9018 
4 38 59 13 9079 
4 39 13 12 9079 
4 39 29 13 9018 
4 39 43 12 9079 
4 39 59 13 9079 
4 40 13 12 9018 
4 40 29 13 9018 
4 40 43 12 9018 
4 40 59 13 9018 
4 41 13 12 9018 
4 41 29 13 9079 
4 41 43 12 9079 
4 41 59 13 9018 
4 42 13 12 9018 
4 42 29 13 9079 
4 42 43 12 9079 
4 42 59 13 9018 
4 43 13 12 9018 
4 43 29 13 9018 
4 43 43 12 9018 
4 43 59 13 9018 
4 44 13 12 9018 
4 44 29 13 9018 
4 44 43 12 9018 
4 44 59 13 9018 
4 45 13 12 9079 
4 45 29 13 9018 
4 45 43 12 9018 
4 45 59 13 9018 
4 46 13 12 9018 
4 46 29 13 9018 
4 46 43 12 9018 
4 46 59 13 9018 
4 47 13 12 9018 
4 47 29 13 9079 
4 47 43 12 9018 
4 47 59 13 9079 
4 48 13 12 9018 
4 48 29 13 9018 
4 48 43 12 9079 
4 48 59 13 9079 
4 51 30 13 9018 
4 51 44 12 9018 
4 52 0 13 9079 
4 52 14 12 9079 
4 52 30 13 9018 
4 52 44 12 9018 
4 53 0 13 9018 
4 53 14 12 9018 
4 53 30 13 9018 
4 53 44 12 9018 
4 54 0 13 9079 
4 54 14 12 9018 
4 54 30 13 9079 
4 54 44 12 9079 
4 55 0 13 9018 
4 55 14 12 9018 
4 55 30 13 9018 
4 55 44 12 9018 
4 56 0 13 9018 
4 56 14 12 9079 
4 56 30 13 9018 
4 56 44 12 9018 
4 57 0 13 9018 
4 57 14 12 9018 
4 57 30 13 9018 
4 57 44 12 9018 
4 58 0 13 9079 
4 58 14 12 9018 
4 58 30 13 9018 
4 58 44 12 9018 
4 59 0 13 9018 
4 59 14 12 9018 
4 59 30 13 9018 
4 59 44 12 9018 
5 0 0 13 9079 
5 0 14 12 9018 
5 0 30 13 9018 
5 0 44 12 9018 
5 1 0 13 9018 
5 1 14 12 9018 
5 1 30 13 9018 
5 1 44 12 9018 
5 2 0 13 9018 
5 2 14 12 9018 
5 2 30 13 9018 
5 2 44 12 9018 
5 3 0 13 9079 
5 3 14 12 9018 
5 3 30 13 9018 
5 3 44 12 9018 
5 4 0 13 9018 
5 4 14 12 9018 
5 4 30 13 9018 
5 4 44 12 9018 
5 5 0 13 9018 
5 5 14 12 9079 
5 5 30 13 9018 
5 5 44 12 9018 
5 6 0 13 9018 
5 8 31 13 9018 
5 8 46 12 9018 
5 9 1 13 9018 
5 9 16 12 9018 
5 9 31 13 9018 
5 9 46 12 9018 
5 10 1 13 9079 
5 10 16 12 9018 
5 10 31 13 9018 
5 10 46 12 9018 
5 11 1 13 9018 
5 11 16 12 9018 
5 11 31 13 9018 
5 11 46 12 9018 
5 12 1 13 9018 
5 12 16 12 9079 
5 12 31 13 9018 
5 12 46 12 9018 
5 13 1 13 9018 
5 13 16 12 9018 
5 13 31 13 9018 
5 13 46 12 9018 
5 14 1 13 9018 
5 14 16 12 9018 
5 14 31 13 9018 
5 14 46 12 9018 
5 15 1 13 9018 
5 15 16 12 9018 
5 15 31 13 9079 
5 15 46 12 9018 
5 16 1 13 9079 
5 16 16 12 9079 
5 16 31 13 9018 
5 16 46 12 9018 
5 17 1 13 9018 
5 17 16 12 9018 
5 17 31 13 9079 
5 17 46 12 9018 
5 18 1 13 9018 
5 18 16 12 9018 
5 18 31 13 9018 
5 18 46 12 9018 
5 19 1 13 9079 
5 19 16 12 9018 
5 19 31 13 9018 
5 19 46 12 9018 
5 20 1 13 9018 
5 20 16 12 9018 
5 20 31 13 9018 
5 20 46 12 9018 
5 21 1 13 9018 
5 21 16 12 9018 
5 21 31 13 9018 
5 21 46 12 9018 
5 22 1 13 9018 
5 22 16 12 9018 
5 22 31 13 9018 
5 22 46 12 9018 
5 23 1 13 9018 
5 25 31 13 9018 
5 25 46 12 9018 
5 26 1 13 9018 
5 26 16 12 9018 
5 26 31 13 9018 
5 26 46 12 9018 
5 27 1 13 9018 
5 27 16 12 9018 
5 27 31 13 9018 
5 27 46 12 9018 
5 28 1 13 9018 
5 28 16 12 9018 
5 28 31 13 9018 
5 28 46 12 9018 
5 29 1 13 9018 
5 29 16 12 9018 
5 29 31 13 9079 
5 29 46 12 9079 
5 30 1 13 9018 
5 30 16 12 9079 
5 30 31 13 9079 
5 30 46 12 9018 
5 31 1 13 9018 
5 31 16 12 9018 
5 31 31 13 9018 
5 31 46 12 9018 
5 32 1 13 9018 
5 32 16 12 9018 
5 32 31 13 9079 
5 32 46 12 9018 
5 33 1 13 9018 
5 33 16 12 9018 
5 33 31 13 9018 
5 33 46 12 9018 
5 34 1 13 9018 
5 34 16 12 9018 
5 34 31 13 9018 
5 34 46 12 9018 
5 35 1 13 9018 
5 35 16 12 9018 
5 35 31 13 9018 
5 35 46 12 9018 
5 36 1 13 9018 
5 36 16 12 9018 
5 36 31 13 9018 
5 36 46 12 9018 
5 37 1 13 9018 
5 37 16 12 9018 
5 37 31 13 9079 
5 37 46 12 9018 
5 38 1 13 9018 
5 38 16 12 9018 
5 38 31 13 9018 
5 38 46 12 9018 
5 39 1 13 9018 
5 39 16 12 9018 
5 39 31 13 9018 
5 39 46 12 9018 
5 40 1 13 9018 
5 42 32 13 9018 
5 42 47 12 9018 
5 43 2 13 9018 
5 43 17 12 9018 
5 43 32 13 9018 
5 43 47 12 9018 
5 44 2 13 9018 
5 44 17 12 9018 
5 44 32 13 9018 
5 44 47 12 9018 
5 45 2 13 9018 
5 45 17 12 9018 
5 45 32 13 9018 
5 45 47 12 9018 
5 46 2 13 9018 
5 46 17 12 9018 
5 46 32 13 9018 
5 46 47 12 9018 
5 47 2 13 9018 
5 47 17 12 9018 
5 47 32 13 9018 
5 47 47 12 9018 
5 48 2 13 9018 
5 48 17 12 9018 
5 48 32 13 9018 
5 48 47 12 9018 
5 49 2 13 9018 
5 49 17 12 9018 
5 49 32 13 9018 
5 49 47 12 9018 
5 50 2 13 9018 
5 50 17 12 9018 
5 50 32 13 9018 
5 50 47 12 9018 
5 51 2 13 9018 
5 51 17 12 9018 
5 51 32 13 9018 
5 51 47 12 9018 
5 52 2 13 9018 
5 52 17 12 9018 
5 52 32 13 9018 
5 52 47 12 9018 
5 53 2 13 9018 
5 53 17 12 9018 
5 53 32 13 9018 
5 53 47 12 9018 
5 54 2 13 9018 
5 54 17 12 9018 
5 54 32 13 9018 
5 54 47 12 9018 
5 55 2 13 9018 
5 55 17 12 9018 
5 55 32 13 9018 
5 55 47 12 9018 
5 56 2 13 9018 
5 56 17 12 9018 
5 56 32 13 9018 
5 56 47 12 9018 
5 57 2 13 9018 
5 59 32 13 9018 
5 59 47 12 9018 
6 0 2 13 9018 
6 0 17 12 9018 
6 0 32 13 9018 
6 0 47 12 9018 
6 1 2 13 9018 
6 1 17 12 9018 
6 1 32 13 9018 
6 1 47 12 9018 
6 2 2 13 9018 
6 2 17 12 9018 
6 2 32 13 9018 
6 2 47 12 9018 
6 3 2 13 9018 
6 3 17 12 9018 
6 3 32 13 9018 
6 3 47 12 9018 
6 4 2 13 9018 
6 4 17 12 9018 
6 4 32 13 9018 
6 4 47 12 9018 
6 5 2 13 9018 
6 5 17 12 9018 
6 5 32 13 9018 
6 5 47 12 9018 
6 6 2 13 9018 
6 6 17 12 9018 
6 6 32 13 9018 
6 6 47 12 9018 
6 7 2 13 9018 
6 7 17 12 9018 
6 7 32 13 9018 
6 7 47 12 9018 
6 8 2 13 9018 
6 8 17 12 9018 
6 8 32 13 9018 
6 8 47 12 9018 
6 9 2 13 9018 
6 9 17 12 9018 
6 9 32 13 9018 
6 9 47 12 9018 
6 10 2 13 9018 
6 10 17 12 9018 
6 10 32 13 9018 
6 10 47 12 9018 
6 11 2 13 9018 
6 11 17 12 9018 
6 11 32 13 9018 
6 11 47 12 9018 
6 12 2 13 9018 
6 12 17 12 9018 
6 12 32 13 9018 
6 12 47 12 9018 
6 13 2 13 9018 
6 13 17 12 9018 
6 13 32 13 9018 
6 13 47 12 9018 
6 14 2 13 9018 
6 16 32 13 9018 
6 16 47 12 9018 
6 17 2 13 9018 
6 17 17 12 9018 
6 17 32 13 9018 
6 17 47 12 9018 
6 18 2 13 9018 
6 18 17 12 9018 
6 18 32 13 9018 
6 18 47 12 9018 
6 19 2 13 9018 
6 19 17 12 9018 
6 19 32 13 9018 
6 19 47 12 9018 
6 20 2 13 9018 
6 20 17 12 9018 
6 20 32 13 9018 
6 20 47 12 9018 
6 21 2 13 9018 
6 21 17 12 9018 
6 21 32 13 9018 
6 21 47 12 9018 
6 22 2 13 9018 
6 22 17 12 9018 
6 22 32 13 9018 
6 22 47 12 9018 
6 23 2 13 9018 
6 23 17 12 9018 
6 23 32 13 9018 
6 23 47 12 9018 
6 24 2 13 9018 
6 24 17 12 9018 
6 24 32 13 9018 
6 24 47 12 9018 
6 25 2 13 9018 
6 25 17 12 9018 
6 25 32 13 9018 
6 25 47 12 9018 
6 26 2 13 9018 
6 26 17 12 9018 
6 26 32 13 9018 
6 26 47 12 9018 
6 27 2 13 9018 
6 27 17 12 9018 
6 27 32 13 9018 
6 27 47 12 9018 
6 28 2 13 9018 
6 28 17 12 9018 
6 28 32 13 9018 
6 28 47 12 9018 
6 29 2 13 9018 
6 29 17 12 9018 
6 29 32 13 9018 
6 29 47 12 9018 
6 30 2 13 9018 
6 30 17 12 9018 
6 30 32 13 9018 
6 30 47 12 9018 
6 31 2 13 9018 
6 33 34 13 9018 
6 33 48 12 9018 
6 34 4 13 9018 
6 34 18 12 9018 
6 34 34 13 9018 
6 34 48 12 9018 
6 35 4 13 9018 
6 35 18 12 9018 
6 35 34 13 9018 
6 35 48 12 9018 
6 36 4 13 9018 
6 36 18 12 9018 
6 36 34 13 9018 
6 36 48 12 9018 
6 37 4 13 9018 
6 37 18 12 9018 
6 37 34 13 9018 
6 37 48 12 9018 
6 38 4 13 9018 
6 38 18 12 9018 
6 38 34 13 9018 
6 38 48 12 9018 
6 39 4 13 9018 
6 39 18 12 9018 
6 39 34 13 9018 
6 39 48 12 9018 
6 40 4 13 9018 
6 40 18 12 9018 
6 40 34 13 9018 
6 40 48 12 9018 
6 41 4 13 9018 
6 41 18 12 9018 
6 41 34 13 9018 
6 41 48 12 9018 
6 42 4 13 9018 
6 42 18 12 9018 
6 42 34 13 9018 
6 42 48 12 9018 
6 43 4 13 9018 
6 43 18 12 9018 
6 43 34 13 9018 
6 43 48 12 9018 
6 44 4 13 9018 
6 44 18 12 9018 
6 44 34 13 9018 
6 44 48 12 9018 
6 45 4 13 9018 
6 45 18 12 9018 
6 45 34 13 9018 
6 45 48 12 9018 
6 46 4 13 9018 
6 46 18 12 9018 
6 46 34 13 9018 
6 46 48 12 9018 
6 47 4 13 9018 
6 47 18 12 9018 
6 47 34 13 9018 
6 47 48 12 9018 
6 48 4 13 9018 
6 50 34 13 9018 
6 50 48 12 9018 
6 51 4 13 9018 
6 51 18 12 9018 
6 51 34 13 9018 
6 51 48 12 9018 
6 52 4 13 9018 
6 52 18 12 9018 
6 52 34 13 9018 
6 52 48 12 9018 
6 53 4 13 9018 
6 53 18 12 9018 
6 53 34 13 9018 
6 53 48 12 9018 
6 54 4 13 9018 
6 54 18 12 9018 
6 54 34 13 9018 
6 54 48 12 9018 
6 55 4 13 9018 
6 55 18 12 9018 
6 55 34 13 9018 
6 55 48 12 9018 
6 56 4 13 9018 
6 56 18 12 9018 
6 56 34 13 9018 
6 56 48 12 9018 
6 57 4 13 9018 
6 57 18 12 9018 
6 57 34 13 9018 
6 57 48 12 9018 
6 58 4 13 9018 
6 58 18 12 9018 
6 58 34 13 8897 
6 58 48 12 9018 
6 59 4 13 9018 
6 59 18 12 9018 
6 59 34 13 9018 
6 59 48 12 9018 
7 0 4 13 9018 
7 0 18 12 9018 
7 0 34 13 9018 
7 0 48 12 9018 
7 1 4 13 9018 
7 1 18 12 9018 
7 1 34 13 9018 
7 1 48 12 9018 
7 2 4 13 9018 
7 2 18 12 9018 
7 2 34 13 9018 
7 2 48 12 9018 
7 3 4 13 9018 
7 3 18 12 9018 
7 3 34 13 9018 
7 3 48 12 9018 
7 4 4 13 9018 
7 4 18 12 9018 
7 4 34 13 9018 
7 4 48 12 9018 
7 5 4 13 9018 
7 7 35 13 9018 
7 7 49 12 9018 
7 8 5 13 9018 
7 8 19 12 9018 
7 8 35 13 9018 
7 8 49 12 9018 
7 9 5 13 9018 
7 9 19 12 9018 
7 9 35 13 9018 
7 9 49 12 9018 
7 10 5 13 9018 
7 10 19 12 9018 
7 10 35 13 9018 
7 10 49 12 9018 
7 11 5 13 9018 
7 11 19 12 9018 
7 11 35 13 9018 
7 11 49 12 9018 
7 12 5 13 9018 
7 12 19 12 9018 
7 12 35 13 9018 
7 12 49 12 9018 
7 13 5 13 9018 
7 13 19 12 9018 
7 13 35 13 9018 
7 13 49 12 9018 
7 14 5 13 9018 
7 14 19 12 9018 
7 14 35 13 9018 
7 14 49 12 9018 
7 15 5 13 9018 
7 15 19 12 9018 
7 15 35 13 9018 
7 15 49 12 9018 
7 16 5 13 9018 
7 16 19 12 9018 
7 16 35 13 9018 
7 16 49 12 9018 
7 17 5 13 9018 
7 17 19 12 9018 
7 17 35 13 9018 
7 17 49 12 9018 
7 18 5 13 9018 
7 18 19 12 9018 
7 18 35 13 9018 
7 18 49 12 9018 
7 19 5 13 9018 
7 19 19 12 9018 
7 19 35 13 9018 
7 19 49 12 9018 
7 20 5 13 9018 
7 20 19 12 9018 
7 20 35 13 9018 
7 20 49 12 9018 
7 21 5 13 9018 
7 21 19 12 9018 
7 21 35 13 9018 
7 21 49 12 9018 
7 22 5 13 9018 
7 24 35 13 9018 
7 24 49 12 9018 
7 25 5 13 9018 
7 25 19 12 9018 
7 25 35 13 9018 
7 25 49 12 9018 
7 26 5 13 9018 
7 26 19 12 9018 
7 26 35 13 9018 
7 26 49 12 9018 
7 27 5 13 9018 
7 27 19 12 9018 
7 27 35 13 9018 
7 27 49 12 9018 
7 28 5 13 9018 
7 28 19 12 9018 
7 28 35 13 9018 
7 28 49 12 9018 
7 29 5 13 9018 
7 29 19 12 9018 
7 29 35 13 9018 
7 29 49 12 9018 
7 30 5 13 9018 
7 30 19 12 9018 
7 30 35 13 9018 
7 30 49 12 9018 
7 31 5 13 9018 
7 31 19 12 9018 
7 31 35 13 9018 
7 31 49 12 9018 
7 32 5 13 9018 
7 32 19 12 9018 
7 32 35 13 9018 
7 32 49 12 8958 
7 33 5 13 9018 
7 33 19 12 9018 
7 33 35 13 9018 
7 33 49 12 9018 
7 34 5 13 9018 
7 34 19 12 9018 
7 34 35 13 9018 
7 34 49 12 9018 
7 35 5 13 9018 
7 35 19 12 9018 
7 35 35 13 9018 
7 35 49 12 9018 
7 36 5 13 9018 
7 36 19 12 9018 
7 36 35 13 9018 
7 36 49 12 9018 
7 37 5 13 9018 
7 37 19 12 9018 
7 37 35 13 9018 
7 37 49 12 9018 
7 38 5 13 9018 
7 38 19 12 9018 
7 38 35 13 9018 
7 38 49 12 9018 
7 39 5 13 9018 
7 41 35 13 9018 
7 41 49 12 9018 
7 42 5 13 9018 
7 42 19 12 9018 
7 42 35 13 9018 
7 42 49 12 9018 
7 43 5 13 9018 
7 43 19 12 9018 
7 43 35 13 9018 
7 43 49 12 9018 
7 44 5 13 9018 
7 44 19 12 9018 
7 44 35 13 9018 
7 44 49 12 9018 
7 45 5 13 9018 
7 45 19 12 9018 
7 45 35 13 9018 
7 45 49 12 9018 
7 46 5 13 9018 
7 46 19 12 9018 
7 46 35 13 9018 
7 46 49 12 9018 
7 47 5 13 9018 
7 47 19 12 9018 
7 47 35 13 9018 
7 47 49 12 9018 
7 48 5 13 9018 
7 48 19 12 9018 
7 48 35 13 9018 
7 48 49 12 9018 
7 49 5 13 9018 
7 49 19 12 9018 
7 49 35 13 9018 
7 49 49 12 9018 
7 50 5 13 9018 
7 50 19 12 9018 
7 50 35 13 9018 
7 50 49 12 9018 
7 51 5 13 9018 
7 51 19 12 9018 
7 51 35 13 9018 
7 51 49 12 9018 
7 52 5 13 9018 
7 52 19 12 9018 
7 52 35 13 9018 
7 52 49 12 9018 
7 53 5 13 9018 
7 53 19 12 9018 
7 53 35 13 9018 
7 53 49 12 9018 
7 54 5 13 9018 
7 54 19 12 9018 
7 54 35 13 9018 
7 54 49 12 9018 
7 55 5 13 9018 
7 55 19 12 9018 
7 55 35 13 9018 
7 55 49 12 9018 
7 56 5 13 9018 
7 58 36 13 9018 
7 58 50 12 9018 
7 59 6 13 9018 
7 59 20 12 9018 
7 59 36 13 9018 
7 59 50 12 9018 
8 0 6 13 9018 
8 0 20 12 9018 
8 0 36 13 9018 
8 0 50 12 9018 
8 1 6 13 9018 
8 1 20 12 9018 
8 1 36 13 9018 
8 1 50 12 9018 
8 2 6 13 9018 
8 2 20 12 9018 
8 2 36 13 9018 
8 2 50 12 9018 
8 3 6 13 9018 
8 3 20 12 9018 
8 3 36 13 9018 
8 3 50 12 9018 
8 4 6 13 9018 
8 4 20 12 9018 
8 4 36 13 9018 
8 4 50 12 9018 
8 5 6 13 9018 
8 5 20 12 9018 
8 5 36 13 9018 
8 5 50 12 9018 
8 6 6 13 9018 
8 6 20 12 9018 
8 6 36 13 9018 
8 6 50 12 9018 
8 7 6 13 9018 
8 7 20 12 9018 
8 7 36 13 9018 
8 7 50 12 9018 
8 8 6 13 9018 
8 8 20 12 9018 
8 8 36 13 9018 
8 8 50 12 9018 
8 9 6 13 9018 
8 9 20 12 9018 
8 9 36 13 9018 
8 9 50 12 9018 
8 10 6 13 9018 
8 10 20 12 9018 
8 10 36 13 9018 
8 10 50 12 9018 
8 11 6 13 9018 
8 11 20 12 9018 
8 11 36 13 9018 
8 11 50 12 9018 
8 12 6 13 9018 
8 12 20 12 9018 
8 12 36 13 9018 
8 12 50 12 9018 
8 13 6 13 9018 
8 15 36 13 9018 
8 15 50 12 9018 
8 16 6 13 9018 
8 16 20 12 9018 
8 16 36 13 9018 
8 16 50 12 9018 
8 17 6 13 9018 
8 17 20 12 9018 
8 17 36 13 9018 
8 17 50 12 9018 
8 18 6 13 9018 
8 18 20 12 9018 
8 18 36 13 9018 
8 18 50 12 9018 
8 19 6 13 9018 
8 19 20 12 9018 
8 19 36 13 9018 
8 19 50 12 9018 
8 20 6 13 9018 
8 20 20 12 9018 
8 20 36 13 9018 
8 20 50 12 9018 
8 21 6 13 9018 
8 21 20 12 9018 
8 21 36 13 9018 
8 21 50 12 9018 
8 22 6 13 9018 
8 22 20 12 9018 
8 22 36 13 9018 
8 22 50 12 9018 
8 23 6 13 9018 
8 23 20 12 9018 
8 23 36 13 9018 
8 23 50 12 9018 
8 24 6 13 9018 
8 24 20 12 9018 
8 24 36 13 9018 
8 24 50 12 9018 
8 25 6 13 9018 
8 25 20 12 9018 
8 25 36 13 9018 
8 25 50 12 9018 
8 26 6 13 9018 
8 26 20 12 9018 
8 26 36 13 9018 
8 26 50 12 9018 
8 27 6 13 9018 
8 27 20 12 9018 
8 27 36 13 9018 
8 27 50 12 9018 
8 28 6 13 9018 
8 28 20 12 9018 
8 28 36 13 9018 
8 28 50 12 9018 
8 29 6 13 9018 
8 29 20 12 9018 
8 29 36 13 9018 
8 29 50 12 9018 
8 30 6 13 9018 
8 32 36 13 9018 
8 32 51 12 9018 
8 33 6 13 9018 
8 33 21 12 9018 
8 33 36 13 9018 
8 33 51 12 9018 
8 34 6 13 9018 
8 34 21 12 9018 
8 34 36 13 9018 
8 34 51 12 9018 
8 35 6 13 9018 
8 35 21 12 9018 
